quality,acumulative
0,0.001444043321299639
1,0.005054151624548736
2,0.007220216606498195
3,0.009386281588447653
4,0.011552346570397111
5,0.013718411552346571
6,0.01660649819494585
7,0.019494584837545126
8,0.020216606498194945
9,0.023826714801444042
10,0.02815884476534296
11,0.02888086642599278
12,0.032490974729241874
13,0.036101083032490974
14,0.039711191335740074
15,0.04187725631768953
16,0.04548736462093863
17,0.051263537906137184
18,0.053429602888086646
19,0.05776173285198556
20,0.06064981949458484
21,0.0664259927797834
22,0.06859205776173286
23,0.07292418772563176
24,0.07725631768953069
25,0.08014440433212996
26,0.08303249097472924
27,0.08664259927797834
28,0.0888086642599278
29,0.09169675090252707
30,0.09314079422382672
31,0.09458483754512635
32,0.09675090252707581
33,0.10108303249097472
34,0.10397111913357401
35,0.10613718411552346
36,0.10902527075812274
37,0.1111913357400722
38,0.11335740072202166
39,0.11985559566787003
40,0.12274368231046931
41,0.12490974729241877
42,0.12851985559566786
43,0.1299638989169675
44,0.13068592057761733
45,0.13429602888086642
46,0.1371841155234657
47,0.13862815884476534
48,0.14512635379061373
49,0.1472924187725632
50,0.1523465703971119
51,0.155956678700361
52,0.1588447653429603
53,0.16101083032490976
54,0.16389891696750902
55,0.16823104693140795
56,0.1711191335740072
57,0.17545126353790613
58,0.17978339350180506
59,0.18267148014440432
60,0.18483754512635378
61,0.18628158844765344
62,0.18772563176895307
63,0.18989169675090253
64,0.192057761732852
65,0.19422382671480146
66,0.2007220216606498
67,0.20216606498194944
68,0.2043321299638989
69,0.2072202166064982
70,0.21010830324909746
71,0.21155234657039712
72,0.21805054151624548
73,0.22093862815884477
74,0.2223826714801444
75,0.2252707581227437
76,0.22671480144404332
77,0.22815884476534296
78,0.2339350180505415
79,0.23610108303249097
80,0.2375451263537906
81,0.23826714801444043
82,0.24115523465703972
83,0.24259927797833936
84,0.24981949458483754
85,0.2512635379061372
87,0.2527075812274368
88,0.25415162454873647
89,0.2548736462093863
90,0.26353790613718414
92,0.26498194945848375
93,0.27075812274368233
94,0.27148014440433216
95,0.27509025270758125
96,0.2808664259927798
97,0.28231046931407944
98,0.28447653429602887
99,1.0
