Insertion,count
1,491
2,180
3,53
4,47
5,28
6,19
7,12
8,4
9,8
10,5
11,4
12,4
13,1
14,3
15,3
18,4
19,1
20,1
21,2
22,1
23,2
25,2
29,1
30,1
34,1
36,1
37,2
39,1
43,1
53,1
55,1
62,1
87,1
