Samples,Clean_total_reads,Clean_total_bases,Clean_q20_bases,Clean_q30_bases,Clean_q20_rate,Clean_q30_rate,Clean_read1_mean_length,Clean_read2_mean_length,Clean_gc_content
P001190115001,87505296,13007091832,12637920527,12087431792,0.971618,0.929295,148,148,0.406369
P002190812015,92642138,13817868123,13302865774,12499729488,0.962729,0.904606,149,149,0.412867
