Samples,Raw_total_reads,Raw_total_bases,Raw_q20_bases,Raw_q30_bases,Raw_q20_rate,Raw_q30_rate,Raw_read1_mean_length,Raw_read2_mean_length,Raw_gc_content
P001190115001,90793522,13709821822,13150090437,12484395584,0.959173,0.910617,151,151,0.408136
P002190812015,94187260,14128089000,13528177134,12689400463,0.957538,0.898168,150,150,0.414219
