Insertion,count
1,481
2,193
3,48
4,52
5,29
6,12
7,14
8,8
9,6
10,4
11,3
12,5
13,2
14,5
15,5
18,3
19,5
20,1
21,2
22,1
23,2
25,2
29,1
30,1
34,1
36,1
37,1
39,1
43,1
53,1
55,1
62,1
87,1
16,2
17,1
24,1
28,1
38,1
59,1
35,1
41,1
50,1
73,1
88,1
144,1
31,1
42,1
66,1
