Deletion,count
1,346
2,69
3,31
4,23
5,14
6,8
7,4
8,3
9,3
11,2
12,2
13,2
15,1
16,1
18,3
20,3
22,1
23,2
27,1
30,2
38,1
10,1
14,1
17,1
21,3
35,1
62,1
88,1
24,2
74,1
45,1
63,1
