Deletion,count
1,328
2,61
3,40
4,19
5,8
6,6
7,2
8,3
9,2
11,1
12,2
13,2
15,2
16,1
18,2
20,3
22,2
23,1
27,1
30,1
38,1
10,1
14,1
17,1
21,2
35,1
62,1
88,1
24,2
74,1
45,1
