coverage,cumulative
0,3043419470
1,2785877651
2,2472173467
3,2044010830
4,1576100348
5,1138535082
6,774765494
7,500047307
8,308124627
9,182417408
10,104568656
11,58628060
12,32540973
13,18183514
14,10476285
15,6379592
16,4210185
17,3034938
18,2366062
19,1956623
20,1682816
21,1485051
22,1330490
23,1204902
24,1101373
25,1013626
26,936957
27,870522
28,812425
29,762170
30,718210
31,679589
32,645524
33,615477
34,588363
35,564180
36,542459
37,522929
38,504911
39,488797
40,474206
41,460957
42,448476
43,437035
44,426379
45,416417
46,407155
47,398388
48,390111
49,381934
50,374383
51,367236
52,360336
53,353873
54,347634
55,341687
56,335883
57,330273
58,324716
59,319378
60,314267
61,309393
62,304698
63,300216
64,295905
65,291542
66,287595
67,283667
68,279803
69,276125
70,272629
71,269350
72,266054
73,262730
74,259605
75,256378
76,253348
77,250514
78,247785
79,245026
80,242355
81,239788
82,237278
83,234765
84,232357
85,230000
86,227677
87,225393
88,223204
89,221123
90,218973
91,216810
92,214820
93,212917
94,210999
95,209086
96,207168
97,205240
98,203328
99,201492
100,199605
101,197816
102,195919
103,194093
104,192306
105,190655
106,189047
107,187501
108,185989
109,184465
110,183072
111,181685
112,180235
113,178782
114,177405
115,176084
116,174705
117,173427
118,172157
119,170863
120,169593
121,168402
122,167249
123,166064
124,164914
125,163771
126,162652
127,161587
128,160538
129,159577
130,158518
131,157495
132,156422
133,155375
134,154373
135,153356
136,152293
137,151321
138,150379
139,149479
140,148601
141,147709
142,146757
143,145815
144,144927
145,144069
146,143214
147,142391
148,141566
149,140734
150,139922
151,139138
152,138367
153,137571
154,136797
155,136032
156,135348
157,134611
158,133849
159,133161
160,132457
161,131754
162,131048
163,130396
164,129714
165,129045
166,128408
167,127717
168,127074
169,126400
170,125764
171,125142
172,124466
173,123880
174,123256
175,122664
176,122105
177,121518
178,120910
179,120324
180,119766
181,119229
182,118681
183,118150
184,117644
185,117152
186,116673
187,116221
188,115727
189,115268
190,114805
191,114342
192,113846
193,113363
194,112856
195,112394
196,111943
197,111481
198,111025
199,110589
200,110148
201,109740
202,109291
203,108860
204,108393
205,107969
206,107534
207,107115
208,106685
209,106257
210,105864
211,105463
212,105020
213,104600
214,104245
215,103849
216,103479
217,103117
218,102779
219,102427
220,102056
221,101697
222,101353
223,101002
224,100665
225,100319
226,99952
227,99616
228,99268
229,98875
230,98546
231,98201
232,97860
233,97494
234,97179
235,96870
236,96534
237,96214
238,95904
239,95579
240,95267
241,94985
242,94666
243,94366
244,94045
245,93713
246,93402
247,93134
248,92816
249,92504
250,92225
