depth,acumulative
1,0.0007326007326007326
2,0.003663003663003663
3,0.007326007326007326
4,0.011721611721611722
5,0.01684981684981685
6,0.024175824175824177
7,0.034432234432234435
8,0.04322344322344322
9,0.05860805860805861
10,0.07252747252747253
11,0.07985347985347985
12,0.09304029304029304
13,0.1054945054945055
14,0.12087912087912088
15,0.14285714285714285
16,0.16117216117216118
17,0.17875457875457876
18,0.19194139194139195
19,0.20805860805860807
20,0.23296703296703297
21,0.2468864468864469
22,0.26886446886446885
23,0.28717948717948716
24,0.304029304029304
25,0.3208791208791209
26,0.34505494505494505
27,0.36556776556776555
28,0.3860805860805861
29,0.40512820512820513
30,0.42344322344322344
31,0.4512820512820513
32,0.47106227106227105
33,0.48717948717948717
34,0.5113553113553113
35,0.5208791208791209
36,0.536996336996337
37,0.5523809523809524
38,0.5684981684981685
39,0.5860805860805861
40,0.5941391941391941
41,0.6102564102564103
42,0.6197802197802198
43,0.6358974358974359
44,0.6498168498168498
45,0.6600732600732601
46,0.6695970695970695
47,0.6776556776556777
48,0.684981684981685
49,0.6937728937728938
50,0.6989010989010989
51,0.7113553113553114
52,0.717948717948718
53,0.7252747252747253
54,0.7355311355311356
55,0.7406593406593407
56,0.7487179487179487
57,0.756043956043956
58,0.7663003663003664
59,0.7714285714285715
60,0.7743589743589744
61,0.7794871794871795
62,0.789010989010989
63,0.7948717948717948
64,0.8007326007326008
65,0.8065934065934066
66,0.8175824175824176
67,0.8227106227106227
68,0.8263736263736263
69,0.8285714285714286
70,0.8315018315018315
71,0.8373626373626374
72,0.843956043956044
73,0.8468864468864469
74,0.8498168498168498
75,0.8556776556776556
76,0.8600732600732601
77,0.8608058608058609
78,0.863003663003663
79,0.8673992673992674
80,0.8695970695970696
81,0.873992673992674
82,0.8776556776556776
83,0.8805860805860806
84,0.8835164835164835
85,0.8879120879120879
86,0.8930402930402931
87,0.8974358974358975
88,0.8996336996336997
89,0.904029304029304
90,0.9047619047619048
91,0.9091575091575091
92,0.9120879120879121
93,0.915018315018315
94,0.9164835164835164
95,0.9179487179487179
96,0.9194139194139194
98,0.9201465201465201
99,0.9208791208791208
100,0.9223443223443224
101,0.9252747252747253
102,0.926007326007326
103,0.9296703296703297
104,0.9318681318681319
105,0.9333333333333333
106,0.9347985347985348
107,0.9355311355311355
108,0.9377289377289377
109,0.9399267399267399
110,0.9413919413919414
112,0.9435897435897436
114,0.9443223443223443
116,0.945054945054945
118,0.9457875457875458
120,0.9472527472527472
121,0.9501831501831501
122,0.9516483516483516
123,0.9531135531135531
124,0.9545787545787546
125,0.9560439560439561
126,0.9582417582417583
128,0.958974358974359
129,0.9597069597069597
130,0.9604395604395605
131,0.9611721611721612
132,0.9626373626373627
133,0.9641025641025641
134,0.9648351648351648
136,0.9655677655677656
138,0.9677655677655678
140,0.9684981684981685
144,0.9706959706959707
147,0.9714285714285714
149,0.9736263736263736
150,0.9750915750915751
152,0.9758241758241758
157,0.9765567765567765
161,0.9772893772893773
162,0.9787545787545787
168,0.9794871794871794
169,0.9802197802197802
172,0.9809523809523809
173,0.9816849816849816
174,0.9831501831501831
175,0.9838827838827838
176,0.9846153846153847
178,0.9853479853479854
182,0.9860805860805861
183,0.9875457875457876
184,0.989010989010989
192,0.9897435897435898
193,0.9912087912087912
196,0.991941391941392
201,0.9926739926739927
202,0.9934065934065934
208,0.9941391941391942
210,0.9948717948717949
219,0.9956043956043956
228,0.9963369963369964
230,0.9970695970695971
237,0.9978021978021978
261,0.9985347985347985
269,0.9992673992673993
309,1.0
