Deletion,count
1,324
2,74
3,32
4,28
5,13
6,8
7,1
8,4
9,5
11,1
12,2
13,2
15,2
16,2
18,1
20,2
22,2
23,1
27,1
30,1
38,1
10,3
14,2
17,1
21,2
35,1
62,1
88,1
24,1
74,1
45,1
