quality,acumulative
0,7.147451933385748e-05
1,0.00021442355800157243
2,0.0002858980773354299
3,0.0010721177900078621
4,0.0011435923093417197
5,0.0014294903866771496
6,0.002501608176685012
7,0.0025730826960188692
8,0.0026445572153527266
9,0.0030019298120220143
10,0.0030734043313558716
11,0.0033593024086913015
12,0.0035022514473590166
13,0.003573725966692874
14,0.0036452004860267314
15,0.0042884711600314485
17,0.004431420198699164
18,0.005003216353370024
20,0.005074690872703881
21,0.005432063469373169
24,0.005860910585376313
26,0.006075334143377886
27,0.00679007933671646
28,0.006933028375384176
30,0.007862197126724323
31,0.00793367164605818
33,0.009005789436066043
36,0.009792009148738475
37,0.009863483668072333
38,0.010077907226073905
39,0.011435923093417196
40,0.011578872132084911
41,0.011721821170752626
42,0.013222786076763634
43,0.013365735115431349
44,0.01358015867343292
45,0.015009649060110071
47,0.015152598098777786
48,0.016867986562790364
49,0.016939461082124223
50,0.01729683367879351
51,0.018869273104138374
52,0.01901222214280609
53,0.019298120220141518
54,0.020870559645486383
56,0.020942034164820243
57,0.023014795225502108
58,0.023157744264169822
59,0.023658065899506826
60,0.02544492888285326
61,0.025730826960188694
62,0.025945250518190265
63,0.02808948609820599
64,0.028232435136873704
65,0.02887570581087842
66,0.03137731398756343
67,0.03166321206489886
68,0.03202058466156815
69,0.034450718318919306
70,0.03466514187692088
71,0.03509398899292402
72,0.03795296976627832
73,0.03823886784361375
74,0.038596240440283036
75,0.04109784861696805
76,0.04138374669430348
77,0.041598170252305056
78,0.04424272746765778
79,0.044385676506325494
80,0.04510042169966407
81,0.04731613179901365
82,0.04760202987634908
83,0.04867414766635694
84,0.05174755199771282
85,0.051961975555714385
86,0.05267672074905296
87,0.05610749767707812
89,0.0568222428704167
90,0.060181545279108
91,0.06053891787577729
92,0.06082481595311272
93,0.06504181259381031
94,0.06525623615181188
95,0.06582803230648274
96,0.06990207990851262
97,0.07018797798584804
98,0.0717604174111929
99,1.0
