Deletion,count
1,289
2,76
3,46
4,17
5,11
6,9
7,2
8,3
9,4
11,2
12,3
13,1
15,2
16,2
18,3
20,2
22,2
23,1
27,1
30,2
38,1
10,2
14,1
17,1
21,2
35,1
