Insertion,count
1,465
2,186
3,48
4,42
5,29
6,18
7,14
8,8
9,7
10,4
11,1
12,2
13,3
14,4
15,2
18,1
19,2
20,2
21,2
22,1
23,2
25,1
29,1
30,2
34,1
36,1
37,2
39,1
43,1
53,1
55,1
62,1
87,1
16,2
17,1
24,2
28,1
38,1
59,1
35,1
41,1
50,1
73,1
88,1
