Deletion,count
1,324
2,63
3,46
4,24
5,17
6,3
7,2
8,5
9,8
11,2
12,3
13,1
15,2
16,2
18,2
20,2
22,1
23,1
27,1
30,2
38,1
10,1
14,2
17,2
21,1
35,1
62,1
88,1
24,1
74,1
